,userName,isEdited,date,title,rating,review,developerResponse
0,Huynh Family iTunes,False,2017-10-21 14:48:08,Ring is the answer to every mothers desire to have a doorbell that doesn’t wake a baby,5,"I have many ring products that all tie together seamlessly into this app. The video doorbell, new spotlight cam, stick up cam, and the brand new security system. My family, pets and I feel safe away on trips and feel like we have a great prevention from break ins. With the low cost of the video storage for all of our video devices I am always aware of what goes on in or around my house at all times. I feel secure and never have any issues setting up, connecting or using their devices. They all integrate wonderfully and I could not be happier. I have recommended to many friends and family members to get just a ring video doorbell. As a new mom with dogs it was hard when anytime someone rang, packages, whatever, our dogs would wake our baby. Now with Chime, I set a tone that doesn’t illicit barking and am aware when anyone is at the door or rings the doorbell. The motion detection is amazing and really easy to customize to not get everyone hat walks by, or you can if that’s what you want. Absolutely love this company and their products. Every time they come up with something new I’m pleased with how well thought out it is and how well it integrates.",
1,581 Ford,False,2018-08-17 23:10:13,Ring 2 not ready for prime time,2,"I have a Ring 2 that’s almost worthless. I am receiving alerts but they’re several seconds delayed. My settings are set to be as fast and sensitive as possible. Same problem many other of your other customers complain about. I wish you would at least have the option of turning off the 10 minute timer that shuts down live view. Should be the customers decision to drain the battery in live view.  That’s why I bought an extra battery. Also, one of the times I tried calling you I was given the option of making an appointment for you to call me back but you never did. And Kaitlyn@Ring, don’t bother to paste your typical reply telling me to email you because you’re so concerned. I’ve read your response back to other customers so many times that I’ve memorized it. Customers should realize if you have to paste that same cookie cutter reply addressing everyone’s concern then Ring and your customers have a really big problem. I’m connected to my 2.4 GHz network and hitting roughly 8Mbps at -53 dBm power. Being an engineer I realize that the business unit and marketing/sales have more say than the technical staff at most companies. The technical people rarely want to release the product before it’s ready but the business side always makes that happen which is why your commercials on TV are so great but your product has a lot to be desired. And you Kaitlyn, I’m not sure which side of the house you’re on but I hope they’re paying you well.","{'id': 4737887, 'body': 'Hi 581 Ford, \n\nI do apologize for this poor Ring experience. I understand your frustration and really would like to help with resolving this for you. I would like to connect with you so that I can address your issues further. If you do decide to reach out to me, I am eager and ready to get to the bottom of this for you. \n\nThanks, \n\nKaitlyn R., Customer Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-08-20T18:12:57Z'}"
2,Hcjfjfifufuf,False,2022-09-09 22:04:57,Ring Ring...,2,"Update; Smart Alerts is horrible, it will not always detect and alert you of a person & sometimes family will be in house before even getting alert. Suggest turning it off- it needs a major rework. 

Update; Now it says person is detected and by time I can view the video is just gone, like it never happen. I saw a person in the preview.. now I will never know what they was doing. Issues with Loading. Resolution is awful. I have certifications in networking, I am skilled in getting very good connections and fixing connection issues. With all of my skills there is still connection issues with the Ring. Sometimes it will not load at all, and then you hear a knock at the door- unable to see who it is or know if someone is trying to break in. I have the Ring Floodlight, Ring Doorbell, & Ring security Cameras. All of them have the same issues. This is not a problem with my connections, but with the devices. The resolution on these cameras are AWFUL! You can barely make out faces unless they are close and still, you cannot see license plates or car model etc. If I could do it over again I would go with a regular camera set-up, even though the installation would be difficult. To their credit other brands are just as bad- such as the Arlo etc. Buy nice or buy twice! The monthly fee is lowest around and the biggest benefit. Its better than nothing... but unreliable, and undependable.",
3,magnum6363,False,2021-03-25 21:49:55,Motion zones: BIG STEP backwards!!!,3,"First, I want to say that I have been a fan of Ring for 3 years. In fact, I have recommended Ring over other systems to friends and family many times. I have multiple AC powered only flood cams and doorbell cams around my property.  I have AC only cams because of the detail and flexibility in the configuration of multiple motion zones on these devices.  However, in a recent update, they removed the Active checkbox that allowed for the selection of one of multiple zones defined on a cam.  As a result, you must delete your other 2 motion zones when you need one of them active.  Then, when you want them back, you must redefine them!  Why is this an issue?  Let’s say you have cams looking down on a basketball court.  When the team is practicing, you do not need to record all activity.  Instead, you just want the area/zone around the court protected by your camera system.  If someone enters the zone, you want notified.  Otherwise, no alerts.  As someone who designs interfaces and software as a profession, I can tell you that this was an unforgivable decision.  You need to think long before ever removing a powerful feature that has been inherent for years.  For this reason, my experience with the app is now a frustrating experience.  I have since stopped recommending Ring.  I am now looking for another solution.",
4,Km jailjljh,False,2019-07-19 03:16:57,Can’t chime and stops working randomly,1,"We’ve had our Ring Pro for over two years and have intermittently had an issue where it would stop working right after someone rang the doorbell and wouldn’t work again until it was unplugged and plugged back in. This issue has been prevalent since a few months after we purchased. Any time I called customer service they would just have me run a reset and say it was working again and that there was nothing else they could do for me. Well finally a customer service person was unexpectedly helpful and had me do all sorts of tests to check how much power it was getting and come to find out it gets enough power, but there’s some sort of ‘fluke’ issue some of the doorbells have that prevent them from being able to operate all the time when the in-house chime is also activated. And wouldn’t it happen to be that we finally figured the cause of this problem out a few months after the warranty period expired. They were gracious enough to offer a discount on purchasing a new one, but if I didn’t want to buy another possibly faulty doorbell I would need to deactivate my internal chime, and just keep checking my app to see when it stops working so I can go home and perform another reset. I just got done with another reset because I realized today that my doorbell hasn’t worked for over a week. I would definitely not recommend this doorbell to anyone, and I will be searching for a replacement as soon as I finish posting this review.",
5,upsettyspaghetti1101,False,2020-05-13 11:11:05,Gift from hell,1,"We got a ring for Christmas last year and were so excited to set it up! It had always sounded like a nice idea to be able to check who was at the door and I park on the street in front of our house so I could keep an eye on that as well. I think the only time motion is detected is when I walk walk out the front door myself or if a car drives by. I’ve had deliveries arrive and people knock on the door and there’s no motion detected and no recording in sight. Luckily the doorbell function seems to work (unless the battery is dead which is every other week) and I’ll never know who is at the door because of all the connectivity issues and super long waiting times to load the feed (even after upgrading the internet several times). Our neighborhood has had several instances of car parts stolen and even a break in at our neighbors and of course every time the battery has either been dead, no connection during the time it occurred to record, or simply no motion detected. Don’t even get me started on the online community! I shared a video I did catch of a strange man taking pictures of my neighbors house (two days before the break in) and was repeatedly called stupid and a terrible person for not calling the police despite the first sentence of the post stating the police had already been called and this was a warning to others that saw him in the neighborhood. Save yourself the time, money, and frustration and keep it simple with a button and a battery.",
6,Stewbabyq,False,2021-04-27 03:11:40,Write down your serial numbers!,1,"Ring does not keep your serial numbers in the app nor in your account. If your device is stolen and the police want the serial number, it is not easy to get. After searching all over the app and your account and you cannot find it you decide to search for a phone number to call Ring. When you finally get a human on the phone and you explain that your device was stolen and the detective needs the serial number and the human tries to tell you where to find the serial number in your stolen device, you about lose it. She finally got it for me. Then I asked about the report that I filed with Ring to try to get a replacement device, she found it supposedly. I never got ANY response from Ring after I sent it in. None. After I got off the phone with the rep I got a customer service survey AND the same email that I had gotten before on how to file the report about a stolen device. Why did I get this? Do I have to fill it out again? Just write down your serial numbers.  With all of that said, I have to say that the app has gotten VERY SLOW. I used to love my Ring cameras over my Arlo ones. This has changed. The Arlo app is so much better and faster and you can easily flip through videos without closing one and opening the next or trying to keep a timeline from resetting to the end. Get it together Ring. I have 9 of your cameras and I will probably switch back to Arlo if you continue to slide.",
7,professorofenglish,False,2020-06-11 11:26:54,Major Glitch in This App,2,"There is a major flaw in the Ring app for iPhones. Whenever I’m alerted of motion or the presence of a person in front of my Ring camera, the recorded video of the incident is visible but never available/clickable. I can see this most recent recording on the history page, but it won’t open, yet all of the other recordings can be opened and played. I then have to close out the app that I had just opened and access the recording after that. This is a waste of time that could be dangerous if someone were trespassing on my property and looking to break in. I even made sure to download the update for the app, yet this problem still persists consistently. What is the point of having a security camera if I have to twiddle my thumbs and jump through hoops to watch the video that alerted me of the presence of unexpected motion? Being alerted at 3 a.m. of motion and then having to open and close the app a couple of times before knowing what triggered the alert is nerve-wracking. This needs to be fixed ASAP. We spent a lot of money on three Ring cameras, which are only as good as the software that comes with them.

I want to add that it takes forever to connect with the live view for one of my cameras, which makes that camera virtually worthless. I always have to walk to that side of the house and look out the window after receiving an alert about motion that was detected there.",
8,Mark evens 601,False,2018-10-18 15:32:44,Connection error cannot load your locations. It’s been like this for a month. Ring can’t fix,1,"Ring technical support has done nothing but make excuses for the past month. They refuse to refund my money for the monthly service they can’t supply. Refused to refund for the doorbells I purchased .they are not usable on their app Any longer . It reads the locations will not load. Bottom line they blocked me out of my account. But they continue to claim that it’s a bug in their system. I have spoken with several of their customer service reps. Each one has a different story and different line of BS. Appears they read off a 3 x 5 cards and have no clue what they’re really doing. Although based in the United States I still feel service is no better than what I get if you were calling overseas. My last two phone calls requesting supervisors were left on hold for over two hours. No one ever came on. Eventually I hung up . Very bad customer service. My first ring was original before they change their name. My current one is less than eight months old . The old one and new ones are still in service. We cannot access the system through any of the phones we own ,computers or iPads.  With the lack of knowledge customer support has about their product in their inability to fix the problems. I would think very hard before purchasing any of their equipment. Also as a follow-up I am still waiting for return call for the last five days. Never came!!","{'id': 5581389, 'body': 'Hi Mark evens 601, \n\nThis is by no means the Ring experience that we intended for you to have. While I do see that you mentioned already working with our Customer Support team, I would appreciate the chance to connect with you directly so that I can provide you with some additional assistance. Please email me so that I can turn your experience around for you today. \n\nThanks, \n\nKaitlyn R., Customer Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-10-19T19:00:13Z'}"
9,LaciDRoy,True,2018-04-10 19:50:20,Updated review......Doesn’t always record.,1,"Update! 
Ring sent me a new ring doorbell as well as a chime extender. Very nice of them. However, now when my videos record, it’s just a black screen 2 out of 3 recordings. The videos that do actually record, some of them are basically just a frozen screen shot but no video. So I’m paying to keep these videos, that do me absolutely no good. I’ve been troubleshooting with an Ashlei O. But can’t figure it out. I’ve done everything she asked. I’ve sent her 6 emails since her email telling me what to try. She just won’t respond to me. It’s now been a week since I’ve heard from any one that can possibly help me. Not sure if they sent me a refurbished ring which is why it’s having issues. My internet connection is great. My router is in a good place. I have no idea. But a few of my clients that have come to my home this last week have asked about my ring doorbell. I’ll continue to tell them to stay far away until someone actually calls or emails me to figure out the broken replacement ring doorbell that they sent me. 

I’m not sure if I’m doing something wrong or if I have a defective ring doorbell. It will only occasionally alert me when someone comes to my front door. I had a group of kids, on my porch, leaving a derogatory comment spelled out in rocks, and it didn’t record them at all. I would’ve loved to see who that was. But it’ll record a car driving by on the street in front of me. Not really worth the money.","{'id': 2905950, 'body': 'Hi LaciDRoy,\n\nFirst, I’m so sorry to hear this! I am confident we can resolve this and we want to take every necessary action to make sure we do this in a timely manner so that we get your devices up and running to your expectations, especially for moments as the one you mention on 3/20. Please reach me directly at marynell@ring.com today because this is not the kind of experience we want our neighbors to encounter. My goal is to make sure we get your Ring product up and running to your expectations and resolve your motion detection. I am confident that we can take care of this for you. I would appreciate your time! \n\nThank you,\nMary Nell J., Neighbor Satisfaction Specialist\nmarynell@ring.com', 'modified': '2018-04-10T19:50:20Z'}"
