,title,isEdited,date,rating,review,userName,developerResponse
0,Recent update made it impossible to order anything from home anymore,False,2020-11-04 01:44:52,5,"I've been using door dash with dash pass for a few months, ordering for and with my girlfriend and family, occasionally with them paying. I support the drivers a lot as well, and I would order every day, giving generous tips and additional cash if I had it. But they just added another two factor authorization that doesn't work properly at all, and it ended in me wasting money on dash pass, on my account and my mom's account for literally no reason, and I guarantee it's causing a lot of dashers to lose money. So I called technical support and they sent me a troubleshooting list to start off with, and I followed it step by step, removing the cards, authorizing them one at a time, everything they said to do. Needless to say, their first branch of customer service was nothing short of a heaving pile of garbage. They said to wait snd try again later, so then comes the next day. I tried ordering food, with two cards with the same general info, and SHABAM, nothing happens. Well, not nothing, it repeatedly asks me to ""rescan your card"" even though it's been done and verified like 12 times and the useless payment from the dash pass on both accounts went through, but not the actual orders? The cards are obviously accepted and they work, so I called them again. They sent me to a slightly higher up in the branch, and she said, she can't do anything about it. So cool, you guy's lost literally 6 customers in one go 👍🏻",Tristan the angry man,
1,Wow! Horrible auto-response ...,False,2020-07-25 01:47:46,5,"I have been using Door Dash from day one.  I preferred Door Dash to Uber Eats, but there are constant issues of items missing, drivers leaving my order at other doors, drivers taking hours to deliver and if you order drinks forget about it.  I continued to patronize Door Dash regardless of the constant mishaps because at least their customer service reps are extremely polite and helpful. However, I recently ordered a rather large order ($70 as usual) band it was frustrating to receive the order again with no drinks. But when I went to report the missing item I received a most disappointing auto response that stated “Thank you for bringing this to our attention. Unfortunately, we are unable to provide compensation on this order due to your account history.” So I guess if you continue to use Door Dash services and pay them for it although they continue to forget your items you paid for eventually you will reach a moment when Door Dash will be okay with taking your money and not delivering your food... just taking your money. The rep Vincent quickly apologized and offered a refund for the missing drink, however the auto response is apparently the type of business Door Dash intends to conduct which is to take your money and provide shady service then refuse to right their mistakes unless you take time out of your day to argue with them about it. No thanks. I’ll be taking my business elsewhere.",Loyal-Patron,
2,Great app if you want to waste your money and time :),False,2021-06-05 04:19:09,5,"On multiple occasions I have had issues with doordash across different states, restaurant, time of order placed, the issue is clearly with doordash and the dashers themselves. I’ve had dashers deliver food to the entirely wrong apartment and swear up and down they delivered it to the right apartment even if the delivery photo clearly shows a different apartment number. I’ve had orders missing food many times, I once had a order from chipotle where I ordered a steak bowl with rice, beans, the works, and they literally gave me lettuce and meat with nothing else with the excuse their doordash system never send the orders to them correctly. I’ve had orders with ‘technical difficulties’ get cancelled an hour after I placed the order and got all the confirmation notifications saying ‘order confirmed by ___’ ‘order being prepped by kitchen’ only for doordash to turn around and claim ‘technical difficulties’ and tell me ‘place another order at a different restaurant’ as if by that time most restaurants had closed. All around a horrible app and a waste of time and money. Customer support is awful and half the time doesn’t even reply back, or will refund you $1 for a missing item that cost $10. Best bet I reccomend uber eats or literally any other app.",Yejinnie,
3,Whatever,False,2021-11-15 23:54:46,3,"I guess i can fix all my problems if i wasn’t so lazy and just went and got food myself. BUT, it’s frustrating that you offer a service to people  and aren’t consistent. 

First off, everything is wildly more expensive, i don’t know it that’s doordash’s fault or not. I also can’t explain the frustration when i order food when i entertain guests, and my order gets grouped with another order and takes about 45-60 minutes longer. And i legit get MAD when my house is obviously closer to the driver than the other destination but they still go there first and drive all the way back to where they were in the first place to drop off my order. Why can’t the drivers use their own basic intuition?? 

The app itself is infuriating. I live in an apartment complex and when i type my address, it puts the pin in the completely wrong spot. I then move the pin, and add delivery instructions, but as soon as the dasher is on their way the app deletes all the information i just put. Although it seems like the drivers still see the delivery instructions. I just really wish the pin feature would work, because doordash drivers are, for whatever reason, completely incapable of finding my apartment. They leave my food at the completely wrong place, and just leave. Can’t even call to confirm?? Or even text??? Obviously it’s the wrong place. I have to go hunt it down wherever these Einstein’s think the delivery instructions say? It’s crazy. Idk what to expect though. So, whatever",kdawg7653,
4,Address issues,False,2021-11-06 22:38:29,3,"I enjoy the DoorDash app very much. I’ve been using it more than other food delivery apps. Ordering is simple and easy and many Dashers are friendly and professional from my experiences. The reason why I’m giving it 3 stars is that there seems to be some strange issue with my address on the app. Now I can’t speak for everyone else cause this might not be a problem for others but for me, it’s becoming a big issue. 

I live in a mobile home park and similar to apartments, we have Lot numbers specific to our mobile homes. I put all of the necessary credentials in for my address. I add my Lot number to the apt/suite spot. Everything’s there. However, for some unknown reason, the Lot number does not show up on the address and this has been confusing some of the dashers delivering to me. Now, most of the dashers end up finding me (though, some of them had to circle the neighborhood a few times or will call or text just to get additional information to help find me) but there have been times where my food was not delivered to the right place and this has happened more than twice (too many times to be honest…).

I find it strange that my Lot number does not show for my address during these deliveries. It only makes things difficult for me and the dasher. I hope this gets fixed because this is becoming too much of a hassle for me to add extra instructions just to help my dashers when something simple as a “LOT NUMBER” can easily fix this problem…",Gregory J W.,
5,Really Poor Communication/Instruction Following,False,2021-04-22 12:17:20,2,"I’ve been using door dash for close to two years now and lately, I don’t know what it is, but no one knows how to deliver food lol. The past four times I’ve ordered from them, there’s been a problem. Instructions for the food itself not followed, instructions for the dasher not followed, etc. I’ve had to have food redelivered twice in the past week because of the dasher. The first time, they dropped it off at a neighbors house way down the street, and luckily they called me so I went to grab my food. On the days I order food at work in the morning, I ask that the dasher text me when they get here, as we’re closed when I order food, and the past few times I haven’t had anyone text me which door they left the food at. Today, I straight up didn’t get my food. I texted my dasher and asked where she left my food, and got no response. I checked the front and back doors, and the neighboring businesses, and my food wasn’t there, so I had to have it redelivered again. It’s just really frustrating and I feel like door dash thinks I’m just trying to get free food because I’ve had so many problems lately 😭 And I feel like a jerk even saying this but I tip really well because I know dashers don’t get paid super well and depend on tips, but I’m tired of having to tip close to $10 for someone who isn’t going to follow my instructions or even like... bring me my food lol. I have issues like this every once in a while, but never to this extent.",Sjbusam12,
6,Jim from Gainesville Florida,False,2021-10-05 17:12:21,4,"I scored this app really high because the app makes it very easy for people who do not drive to be able to appreciate the different stores businesses and restaurants and others in our community. I’ve also used the DoorDash out of state, and in other localities around Florida. My only concern is that number one they closed their ADA or assistance for people disabilities line and that is kind of challenging. When I need to get help with something. Also when updates happen frequently I find that I have to call customer service and work with someone who is definitely interested in helping but may not always have strong English skills. So we spend a lot of the call explaining what the problem is and how it might affect the blind community especially uses this app and I would hope that you would work more closely with the organizations American Council of the blind national Federation of the blind and their affiliates that work with technology do you continue to make this app even more accessible and inclusive. I gave you a four. But please know that if you are able to fix some of these loose ends and be a little more inclusive of your body visually impaired and reading customers I will review five stars. Thanks for a great app let’s just make it just a little bit better. I’m dictating this so please forgive any errors.",Jim from Gainesville FL,
7,Good App. Good Service. Good Money Grab.,False,2021-01-01 20:58:52,3,"I find that the app itself is easy enough to use for any of my food orders. However the pricing is a bit high just to have some food delivered. I’m talking about the delivery, and service fees. They offer free delivery on certain orders, from certain restaurants, except the service fee will then be higher. It’s just quite a leap in price from picking something up, to having it delivered through Door-Dash. I get that it’s meant to be convenient. However, something stops being convenient when it becomes quite a bit more expensive. Then they say “we’ll just sign up for our Door Pass” and you’ll get free deliveries, except again, those services fees are tricky. Not to mention, you’re now paying $9.99 a month for something you only use like once or twice a month. It just doesn’t make much sense unless your ordering food delivered several times a week, but even then with the service charges and tips added, you might as well drive the 5 minutes (2miles) and pick it up yourself. These Apps in a way take advantage of  elderly people, and sick people who can’t leave their homes due to isolation, quarantine, or the fear of getting sick and who have no family or friends to help them. They have no choice but to spend the extra money to use these apps so they can eat. Which is not great in a time where a majority of people are financially struggling. End review rant.",ANTMAN489,
8,Doordash even stole Keys. Doordash doesn’t hold their Enployees Accountable,False,2020-03-29 22:09:24,4,"Although I made a huge unfortunate mistake of leaving my keys in the door after getting home from work, tired, with handful of things, my doordasher violated me. The doordasher stole my keys!!!!!! As soon as he arrived we heard him remove the keys from the door, knock, then run. After opening our door we found our food sitting on our mat, as we had prompted for no contact. When realizing he took our keys we submitting a complaint to doordash as well as submitting a police report. The detective assigned to the case contacted doordash hoping to communicate with the dasher, however doordash will not release his information. Understandably, I get wanting to protect the employee, but I don’t understand not diligently working to make sure the issue at hand is resolved nor happens again. If they have not fired that dasher, they inevitably have a thieving employee ready to prey on the next customer. ADDITIONALLY, we learned that doordash is too unreliable when two days later we received the complete wrong order, we tried to immediately contact the dasher to inform her we had the wrong order and she was potentially delivering another wrong order, but doordash had blocked the number already. Although we received credit for the inconvenience we have learned that trusting doordash is far too much of a stretch for us.",Funfun2.0,
9,Worst delivery and customer service ever!!Do not use!!,False,2021-03-03 00:50:07,5,"I have been a frequent door dash user and over the last month there customer service and service has been an absolute nightmare! The last 6 orders I've had with them have all been missing main entrees, sides and orders as well as items being made incorrectly even though I specify exactly what I ordered which I understand it's food service but when you haven't ate dinner an you order food you expect to receive the food you ordered and if you do not then I expect either for the order be corrected or a refund but after calling this last time because my order was missing 5things and the rest was made wrong. This order was 40 bucks for taco bell and when I got in touch with customers service they were rude and said that I have reached my limit on refunds. Which makes no since I didnt have to have a refund I just wanted what I paid for and if that's not possible then I wanted a refund for it and they stated they couldn't do wither and that there was no supervisor and no help at all. Deanna was the customer supports name and she was horrible. I refuse to pay for something I did not receive!! That's theft basically this is ridiculous an I will never us this service again!!",gzitsstistii,
